"","X.1","X","user_id","status_id","created_at","screen_name","text","source","display_text_width","reply_to_status_id","reply_to_user_id","reply_to_screen_name","is_quote","is_retweet","favorite_count","retweet_count","hashtags","symbols","urls_url","urls_t.co","urls_expanded_url","media_url","media_t.co","media_expanded_url","media_type","ext_media_url","ext_media_t.co","ext_media_expanded_url","ext_media_type","mentions_user_id","mentions_screen_name","lang","quoted_status_id","quoted_text","quoted_created_at","quoted_source","quoted_favorite_count","quoted_retweet_count","quoted_user_id","quoted_screen_name","quoted_name","quoted_followers_count","quoted_friends_count","quoted_statuses_count","quoted_location","quoted_description","quoted_verified","retweet_status_id","retweet_text","retweet_created_at","retweet_source","retweet_favorite_count","retweet_retweet_count","retweet_user_id","retweet_screen_name","retweet_name","retweet_followers_count","retweet_friends_count","retweet_statuses_count","retweet_location","retweet_description","retweet_verified","place_url","place_name","place_full_name","place_type","country","country_code","geo_coords","coords_coords","bbox_coords","status_url","name","location","description","url","protected","followers_count","friends_count","listed_count","statuses_count","favourites_count","account_created_at","verified","profile_url","profile_expanded_url","account_lang","profile_banner_url","profile_background_url","profile_image_url","lat","lng","stateCode","state.name.x","state.name.y"
"285",285,2733,"x2195051915","x1101219204504666113","2019-02-28 20:34:52","ashleyherberttt","I’ve had the flu since last Friday and nothing is helping and I have to go to work tonight when I should be in bed. I’m so frustrated, I just want to be well again","Twitter for iPhone",163,"","","",FALSE,FALSE,2,0,"",NA,"","","","","","","","","","",NA,"","","en","","","","",NA,NA,"","","",NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://api.twitter.com/1.1/geo/id/84229b03659050aa.json","Virginia Beach","Virginia Beach, VA","city","United States","US","NA NA","NA NA","-76.22808 -75.9118121 -75.9118121 -76.22808 36.672684 36.672684 36.932399 36.932399","https://twitter.com/ashleyherberttt/status/1101219204504666113","ramona flowers","Virginia Beach, VA","don’t dream it, be it 🌈","",FALSE,430,269,7,10350,23350,"2013-11-25 05:11:21",FALSE,"","","en","https://pbs.twimg.com/profile_banners/2195051915/1551472290","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1085049427151253504/y7DH4DA3_normal.jpg",36.8025415,-76.06994605,"VA","Virginia","Virginia"
"286",286,2744,"x27982685","x1101213814681264128","2019-02-28 20:13:27","andy_smth","I'm sick with the #flu today, which sucks, but it does give me a chance to get my #Oscar angst out by watching #SpikeLee and #RyanCoogler classics. #BlackPanther #BlacKkKlansman #MalcomX… https://t.co/Muc6PFDnFd","Instagram",211,"","","",FALSE,FALSE,1,0,"flu Oscar SpikeLee RyanCoogler BlackPanther BlacKkKlansman MalcomX",NA,"instagram.com/p/BucD7NcBqRm/…","https://t.co/Muc6PFDnFd","https://www.instagram.com/p/BucD7NcBqRm/?utm_source=ig_twitter_share&igshid=2hg57uo7y073","","","","","","","",NA,"","","en","","","","",NA,NA,"","","",NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://api.twitter.com/1.1/geo/id/8e24cdcee62a4347.json","Cottage Grove","Cottage Grove, MN","city","United States","US","44.8335 -92.9583","-92.9583 44.8335","-92.98399 -92.903515 -92.903515 -92.98399 44.800931 44.800931 44.855344 44.855344","https://twitter.com/andy_smth/status/1101213814681264128","Andy Smith","Rochester, MN","""I found it is the small things. Everyday deeds by ordinary folk that keeps the darkness at bay."" Cinephile. Founder/Owner of @grayducktheater","https://t.co/rygTh83j6k",FALSE,375,1245,16,1386,2450,"2009-03-31 22:36:49",FALSE,"https://t.co/rygTh83j6k","http://grayducktheater.com","en","https://pbs.twimg.com/profile_banners/27982685/1546844752","http://abs.twimg.com/images/themes/theme9/bg.gif","http://pbs.twimg.com/profile_images/988507865332748288/ZhgQPQ4I_normal.jpg",44.8335,-92.9583,"MN","Minnesota","Minnesota"
"287",287,2789,"x2510851476","x1101185965304045575","2019-02-28 18:22:47","NotataxiWoW","My biggest fear this time of year is the stomach flu. I’m obsessed with washing towels and sheets just in case someone 🤮.","Twitter for iPhone",121,"","","",FALSE,FALSE,0,0,"",NA,"","","","","","","","","","",NA,"","","en","","","","",NA,NA,"","","",NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://api.twitter.com/1.1/geo/id/67d92742f1ebf307.json","Michigan","Michigan, USA","admin","United States","US","NA NA","NA NA","-90.4181075 -82.122971 -82.122971 -90.4181075 41.696088 41.696088 48.306272 48.306272","https://twitter.com/NotataxiWoW/status/1101185965304045575","Lisa","Michigan","Wife, mom, Catholic, bad ass lace Knitter, spinner, yarn sniffer, retired frost mage","",FALSE,39,225,1,702,1959,"2014-05-20 16:41:52",FALSE,"","","en","https://pbs.twimg.com/profile_banners/2510851476/1546060782","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1038048261259575296/2vIXmRk9_normal.jpg",45.00118,-86.27053925,"MI","Michigan","Michigan"
"288",288,2792,"x3223726800","x1101181725093310464","2019-02-28 18:05:56","xxxscentric3_","@doriandeaville I just dont understand how these people calling in all the time still work there??? I've called in once since I started bc I had the flu and when I brought an excuse Vanessa was like ""wow I've never seen anyone do that before."" I was like ??? arent you supposed to??","Twitter for Android",266,"x1101181293256212480","x448275177","doriandeaville",FALSE,FALSE,0,0,"",NA,"","","","","","","","","","",NA,"x448275177","doriandeaville","en","","","","",NA,NA,"","","",NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://api.twitter.com/1.1/geo/id/21b6f72f9fdaeb06.json","Lake Charles","Lake Charles, LA","city","United States","US","NA NA","NA NA","-93.3148518 -93.080595 -93.080595 -93.3148518 30.1248593 30.1248593 30.280683 30.280683","https://twitter.com/xxxscentric3_/status/1101181725093310464","Jade Blue Afterglow","Dirty Coast 337","welcome ladies, gentlemen, trees, and multiforms #IWANTPIZZA #twirlygirl #whovian #PLUTOISNOTAPLANET #INFPT #ogluvrluvr #bird","https://t.co/5DI3nXM2R5",FALSE,503,923,5,19460,28659,"2015-05-23 01:26:19",FALSE,"https://t.co/5DI3nXM2R5","https://help.rmhc-sla.org","en","https://pbs.twimg.com/profile_banners/3223726800/1551158794","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1100267055327125505/JtV2asGK_normal.jpg",30.20277115,-93.1977234,"LA","Louisiana","Louisiana"
"289",289,2795,"x547368305","x1101180543037853696","2019-02-28 18:01:15","_ag8three","I got the flu and my girlfriend decides to go class :( I’m finna die","Twitter for iPhone",68,"","","",FALSE,FALSE,5,0,"",NA,"","","","","","","","","","",NA,"","","en","","","","",NA,NA,"","","",NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://api.twitter.com/1.1/geo/id/803089e5de2b8c9b.json","Kingsville","Kingsville, TX","city","United States","US","NA NA","NA NA","-97.8952042 -97.828561 -97.828561 -97.8952042 27.4629586 27.4629586 27.538226 27.538226","https://twitter.com/_ag8three/status/1101180543037853696","aaron","Austin, TX \ Kingsville, TX","21 • TAMUK • all thoughts and opinions are my own  •","",FALSE,1320,843,18,68825,29375,"2012-04-07 06:12:12",FALSE,"","","en","https://pbs.twimg.com/profile_banners/547368305/1530717643","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1066723302343958528/fPTqVWU3_normal.jpg",27.5005923,-97.8618826,"TX","Texas","Texas"
"290",290,2809,"x259019904","x1101167630973628416","2019-02-28 17:09:56","Luke587","This dude looks like he got the flu and hasn’t slept in 4 days https://t.co/mChBen2Wo4","Twitter for iPhone",62,"","","",TRUE,FALSE,0,0,"",NA,"twitter.com/eliesaaab/stat…","https://t.co/mChBen2Wo4","https://twitter.com/eliesaaab/status/1100817695212273665","","","","","","","",NA,"","","en","x1100817695212273665","Lorenzo Zurzolo https://t.co/FqXdK6y01q","2019-02-27 17:59:25","Twitter for iPhone",37575,6163,"x800449564486447105","eliesaaab","femme fatale",427443,66,2831,"","how rare and beautiful it is to even exist eliesaaabbiz@gmail.com - backup: @eliesaaabs - fan account",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://api.twitter.com/1.1/geo/id/1d9a5370a355ab0c.json","Chicago","Chicago, IL","city","United States","US","NA NA","NA NA","-87.940033 -87.523993 -87.523993 -87.940033 41.644102 41.644102 42.0230669 42.0230669","https://twitter.com/Luke587/status/1101167630973628416","Luke Konchar","Chicago ","Im that one guy from that one thing. You can follow me but I don't even know where I'm going. Go Hawks","",FALSE,196,305,1,15322,2895,"2011-03-01 00:22:37",FALSE,"","","en","https://pbs.twimg.com/profile_banners/259019904/1427931409","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/945867779160322048/8QQOFULd_normal.jpg",41.83358445,-87.732013,"IL","Illinois","Illinois"
"291",291,2819,"x203956913","x1101161268516253696","2019-02-28 16:44:39","sam__raley","Coffee is saving me today. Still so exhausted from having the stomach flu 🤒 took the entire day yesterday and rested and feel so much better today! Exam Tuesday on bones diseases is right… https://t.co/4RL484AnYt","Instagram",212,"","","",FALSE,FALSE,1,0,"",NA,"instagram.com/p/BubsB5NHKjQ/…","https://t.co/4RL484AnYt","https://www.instagram.com/p/BubsB5NHKjQ/?utm_source=ig_twitter_share&igshid=1xjr1lia87jzt","","","","","","","",NA,"","","en","","","","",NA,NA,"","","",NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://api.twitter.com/1.1/geo/id/222efb7ee8b98c58.json","Elmhurst","Elmhurst, IL","city","United States","US","41.9011 -87.9399","-87.9399 41.9011","-87.9691933 -87.915373 -87.915373 -87.9691933 41.8477693 41.8477693 41.9316796 41.9316796","https://twitter.com/sam__raley/status/1101161268516253696","Samantha Raley","Chicago ","#beersnob and #studentnurse","https://t.co/CrERJB49Gp",FALSE,201,336,9,5572,588,"2010-10-17 15:53:54",FALSE,"https://t.co/CrERJB49Gp","http://Beachbodycoach.com/samraleyfit","en","","http://abs.twimg.com/images/themes/theme13/bg.gif","http://pbs.twimg.com/profile_images/850070996111544320/epR7HVQb_normal.jpg",41.9011,-87.9399,"IL","Illinois","Illinois"
"292",292,2820,"x51918112","x1101161015499255810","2019-02-28 16:43:39","LilFletch22","I just found out I had the flu. How’s your Thursday going? 🙃","Twitter for iPhone",60,"","","",FALSE,FALSE,0,0,"",NA,"","","","","","","","","","",NA,"","","en","","","","",NA,NA,"","","",NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://api.twitter.com/1.1/geo/id/7142eb97ae21e839.json","Georgia","Georgia, USA","admin","United States","US","NA NA","NA NA","-85.605166 -80.742567 -80.742567 -85.605166 30.355644 30.355644 35.000771 35.000771","https://twitter.com/LilFletch22/status/1101161015499255810","Fletch","Georgia","Alabama Football | RIP Dad ❤️","",FALSE,743,444,7,53177,3417,"2009-06-29 01:57:53",FALSE,"","","en","https://pbs.twimg.com/profile_banners/51918112/1550537628","http://abs.twimg.com/images/themes/theme14/bg.gif","http://pbs.twimg.com/profile_images/1097703948960571392/XTR4rTqI_normal.jpg",32.6782075,-83.1738665,"GA","Georgia","Georgia"
"293",293,2822,"x1022645096662089729","x1101159290667175936","2019-02-28 16:36:48","eralysse","i have never had the flu in my life what the fuckkkkkk is this 😫😩","Twitter for iPhone",65,"","","",FALSE,FALSE,0,0,"",NA,"","","","","","","","","","",NA,"","","en","","","","",NA,NA,"","","",NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://api.twitter.com/1.1/geo/id/59dab0b1b9779311.json","Dearborn Heights","Dearborn Heights, MI","city","United States","US","NA NA","NA NA","-83.312805 -83.217437 -83.217437 -83.312805 42.268212 42.268212 42.357044 42.357044","https://twitter.com/eralysse/status/1101159290667175936","erin","Detroit, MI","If I can’t leave earth i’ll at least roam the surface ~ 21 {{ aquarius sun, scorpio moon, gemini rising / adventurer & child of the universe ✨","https://t.co/92zmVdDLWw",FALSE,889,878,0,2196,2795,"2018-07-27 00:49:25",FALSE,"https://t.co/92zmVdDLWw","https://vsco.co/chemicalsndiamonds","en","https://pbs.twimg.com/profile_banners/1022645096662089729/1545700071","","http://pbs.twimg.com/profile_images/1078491976432054272/ITrBZI7q_normal.jpg",42.312628,-83.265121,"MI","Michigan","Michigan"
"294",294,2830,"x4925471795","x1101155956782714882","2019-02-28 16:23:33","admiralshaarot","@UberTimmeh I've been down with the flu. I had cleared some time to specifically come chat in your discord/check out your stream aaand then I got sick.

It's always ok to be human. It's always ok to show your humanity.","Twitter for Android",206,"x1101077460446208000","x819784894792351744","UberTimmeh",FALSE,FALSE,0,0,"",NA,"","","","","","","","","","",NA,"x819784894792351744","UberTimmeh","en","","","","",NA,NA,"","","",NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://api.twitter.com/1.1/geo/id/8e67b1e195b34dd8.json","Scranton","Scranton, PA","city","United States","US","NA NA","NA NA","-75.719751 -75.617789 -75.617789 -75.719751 41.369442 41.369442 41.469377 41.469377","https://twitter.com/admiralshaarot/status/1101155956782714882","Agent DarkRebelyn #thedivision2","Scranton, PA","Humanity is fucked. I'm just here to watch it burn.","https://t.co/M4Rx7ItSOP",FALSE,514,344,3,16429,11095,"2016-02-17 22:02:23",FALSE,"https://t.co/M4Rx7ItSOP","https://www.facebook.com/admiralrebelyn","en","https://pbs.twimg.com/profile_banners/4925471795/1508225376","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1096569012958433280/xBGM2f5X_normal.jpg",41.4194095,-75.66877,"PA","Pennsylvania","Pennsylvania"
"295",295,2839,"x722212406714363904","x1101150281734279168","2019-02-28 16:01:00","cchelseabb","Ik I said I wish I had the flu so I can miss school. But now that I have it rn I don’t wanna miss the parades😫","Twitter for iPhone",110,"","","",FALSE,FALSE,0,0,"",NA,"","","","","","","","","","",NA,"","","en","","","","",NA,NA,"","","",NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://api.twitter.com/1.1/geo/id/b5b20fbf38f349af.json","Bayou Cane","Bayou Cane, LA","city","United States","US","NA NA","NA NA","-90.810681 -90.691976 -90.691976 -90.810681 29.591044 29.591044 29.661513 29.661513","https://twitter.com/cchelseabb/status/1101150281734279168","Chels:))","","18. VCH ‘19🎓 👻 ccchiiiii","",FALSE,732,462,4,3660,19771,"2016-04-18 23:57:10",FALSE,"","","en","https://pbs.twimg.com/profile_banners/722212406714363904/1545584684","","http://pbs.twimg.com/profile_images/1086276734876438528/IezAwdZR_normal.jpg",29.6262785,-90.7513285,"LA","Louisiana","Louisiana"
"296",296,2840,"x753239520","x1101150126431789057","2019-02-28 16:00:23","AkronWineGuru","@ja2cook @cazij @jflorez @suziday123 @Cbp8Cindy @JackConnie @magee333 @thatsVeryKari @CaraMiaSG @ccatmpt @simplysallyh @Starofthesea007 @drahus11 @joneill55 @SLBriscoe @_drazzari @DavidFoyn @PoloOrtiz9 @jillianne_gray @FionaMorgan79 @FreshRoasters @LoveCoffeeHour @MagnumExotics @TracyPereira20 @confessions_cup @CleanDropMobile @hmgivingsoul @JeremyPalmer7 Hey J! It’s been hectic, plus I think I got the flu bug😔","Twitter for iPhone",56,"x1101145183435935744","x217890297","ja2cook",FALSE,FALSE,3,0,"",NA,"","","","","","","","","","",NA,"x217890297 x721773649 x14763005 x2239151282 x1917020496 x297536882 x160677978 x1322924190 x27076419 x31267419 x288580165 x1012833414196719628 x827531754386944000 x24230458 x1488927464 x285708096 x1215493812 x955096778994536451 x857268575538642945 x782894571290255360 x2429951762 x2374240176 x1537386270 x1043618417868079105 x943636276049272832 x2253783906 x3140717458 x880259844","ja2cook cazij jflorez suziday123 Cbp8Cindy JackConnie magee333 thatsVeryKari CaraMiaSG ccatmpt simplysallyh Starofthesea007 drahus11 joneill55 SLBriscoe _drazzari DavidFoyn PoloOrtiz9 jillianne_gray FionaMorgan79 FreshRoasters LoveCoffeeHour MagnumExotics TracyPereira20 confessions_cup CleanDropMobile hmgivingsoul JeremyPalmer7","en","","","","",NA,NA,"","","",NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://api.twitter.com/1.1/geo/id/249bc600a1b6bb6a.json","Aurora","Aurora, OH","city","United States","US","NA NA","NA NA","-81.391771 -81.310528 -81.310528 -81.391771 41.275668 41.275668 41.348308 41.348308","https://twitter.com/AkronWineGuru/status/1101150126431789057","Clown Prince of Wine","Where the wine is 🍷","Craft beer and great wine. Certified Diver, Cleveland sports fan, half-assed golfer, Cleveland Marathon runner, and Boxer. Sexy Mutha F*$&a","",FALSE,4510,3706,126,38878,82950,"2012-08-12 14:51:46",FALSE,"","","en","https://pbs.twimg.com/profile_banners/753239520/1549504210","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1102343332116746241/uSWMtLzB_normal.jpg",41.311988,-81.3511495,"OH","Ohio","Ohio"
"297",297,2850,"x280253208","x1101145372603297793","2019-02-28 15:41:29","bdagley85","Help! Reese has a ton of work to makeup since he’s home with the flu! This momma doesn’t understand exactly what to do on this and I don’t want to tell him… https://t.co/uFyzE8gU3l","Instagram",180,"","","",FALSE,FALSE,0,0,"",NA,"instagram.com/p/BubkzSdgZh4R…","https://t.co/uFyzE8gU3l","https://www.instagram.com/p/BubkzSdgZh4RhYwbI__DUPVycg2H7_5g7bFeGA0/?utm_source=ig_twitter_share&igshid=9zhrz703qapq","","","","","","","",NA,"","","en","","","","",NA,NA,"","","",NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://api.twitter.com/1.1/geo/id/f3f6359397117e7d.json","Levelland","Levelland, TX","city","United States","US","33.5847 -102.372","-102.372 33.5847","-102.403865 -102.310997 -102.310997 -102.403865 33.561058 33.561058 33.603758 33.603758","https://twitter.com/bdagley85/status/1101145372603297793","Brittany Dagley","Levelland, TX","A mother of 2 great kiddos and married to my best friend.... I teacher technology to PK and K students.. I love country music, singing, dancing, and reading.","",FALSE,53,85,0,387,106,"2011-04-10 23:49:57",FALSE,"","","en","https://pbs.twimg.com/profile_banners/280253208/1533664991","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1026891609256812545/kNTOolLx_normal.jpg",33.5847,-102.372,"TX","Texas","Texas"
"298",298,2877,"x4874227034","x1101130480093675521","2019-02-28 14:42:19","SauceSlim","I think I got the flu &amp; I can’t miss no days at school 😷","Twitter for iPhone",60,"","","",FALSE,FALSE,0,0,"",NA,"","","","","","","","","","",NA,"","","en","","","","",NA,NA,"","","",NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://api.twitter.com/1.1/geo/id/1c69a67ad480e1b1.json","Houston","Houston, TX","city","United States","US","NA NA","NA NA","-95.823268 -95.069705 -95.069705 -95.823268 29.522325 29.522325 30.1546646 30.1546646","https://twitter.com/SauceSlim/status/1101130480093675521","Presidential✨","Houston, TX","Aye Slim 🗣","",FALSE,353,253,2,6350,10790,"2016-02-07 15:21:08",FALSE,"","","en","https://pbs.twimg.com/profile_banners/4874227034/1550452739","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1097308580993265664/wAN7Eyvl_normal.jpg",29.8384948,-95.4464865,"TX","Texas","Texas"
"299",299,2920,"x742814287186546689","x1101069102687420416","2019-02-28 10:38:25","joecvol","@Charlie_Burris Not an excuse, but half the team has the flu. Have you ever tried playing a game of anything with the flu, let alone a major college basketball game on the road?","Twitter for Android",161,"x1100974913895231488","x2329551530","Charlie_Burris",FALSE,FALSE,1,0,"",NA,"","","","","","","","","","",NA,"x2329551530","Charlie_Burris","en","","","","",NA,NA,"","","",NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://api.twitter.com/1.1/geo/id/0130599a6b9bea26.json","Strawberry Plains","Strawberry Plains, TN","city","United States","US","NA NA","NA NA","-83.704857 -83.631956 -83.631956 -83.704857 36.031116 36.031116 36.077731 36.077731","https://twitter.com/joecvol/status/1101069102687420416","Joe","","UTK..... Love The Vols and The Reds!              
              US Army Vet 19D","",FALSE,78,470,0,1388,14650,"2016-06-14 20:21:41",FALSE,"","","en","https://pbs.twimg.com/profile_banners/742814287186546689/1516221557","","http://pbs.twimg.com/profile_images/1064267643845337090/pm2SrHo4_normal.jpg",36.0544235,-83.6684065,"TN","Tennessee","Tennessee"
"300",300,2925,"x62247056","x1101046190114828289","2019-02-28 09:07:22","Annettievazquez","Day 5 with the stomach flu: will i ever get better? Am i doomed to a life of nausea and stomach cramps? When will i be able to eat and not feel nauseas ? When will i be able to sleep and not wake up in pain ?!?!","Twitter for iPhone",211,"","","",FALSE,FALSE,0,0,"",NA,"","","","","","","","","","",NA,"","","en","","","","",NA,NA,"","","",NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://api.twitter.com/1.1/geo/id/1c69a67ad480e1b1.json","Houston","Houston, TX","city","United States","US","NA NA","NA NA","-95.823268 -95.069705 -95.069705 -95.823268 29.522325 29.522325 30.1546646 30.1546646","https://twitter.com/Annettievazquez/status/1101046190114828289","🍒","SATX","🇲🇽","https://t.co/cbfm8vK66g",FALSE,896,577,15,92193,88783,"2009-08-02 11:50:39",FALSE,"https://t.co/cbfm8vK66g","https://curiouscat.me/annette93","en","https://pbs.twimg.com/profile_banners/62247056/1551348383","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1100998202344521730/DTFHxfeX_normal.jpg",29.8384948,-95.4464865,"TX","Texas","Texas"
"301",301,2927,"x164843543","x1101032605103796225","2019-02-28 08:13:23","MacFARLIN","I have never got that shot for the flu and I ain’t never had the flu in all my years. Praying for everybody that got the flu 🤒","Twitter for iPhone",126,"","","",FALSE,FALSE,0,0,"",NA,"","","","","","","","","","",NA,"","","en","","","","",NA,NA,"","","",NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://api.twitter.com/1.1/geo/id/895f19a3c08d3d35.json","Ontario","Ontario, CA","city","United States","US","NA NA","NA NA","-117.6836 -117.5239664 -117.5239664 -117.6836 33.997213 33.997213 34.093104 34.093104","https://twitter.com/MacFARLIN/status/1101032605103796225","BR","Ontario, CA","C.E.O/Producer at Teamrnbmusic For sales email MacFarlinBaby@Gmail.com","https://t.co/8AcBngGGfr",FALSE,488,294,9,22050,3744,"2010-07-09 22:31:56",FALSE,"https://t.co/8AcBngGGfr","https://itunes.apple.com/us/album/issa-fact/1449637374?i=1449637528","en","https://pbs.twimg.com/profile_banners/164843543/1419272683","http://abs.twimg.com/images/themes/theme14/bg.gif","http://pbs.twimg.com/profile_images/945159448359616512/QrNaEIvE_normal.jpg",34.0451585,-117.6037832,"CA","California","California"
"302",302,2934,"x704909044440502272","x1101011297221500928","2019-02-28 06:48:43","ainsmcrae","my immune system hates me lmfao in the last three weeks ive had the flu, strep throat, and then the flu again","Twitter for iPhone",109,"","","",FALSE,FALSE,2,0,"",NA,"","","","","","","","","","",NA,"","","en","","","","",NA,NA,"","","",NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://api.twitter.com/1.1/geo/id/ac88a4f17a51c7fc.json","Portland","Portland, OR","city","United States","US","NA NA","NA NA","-122.7900653 -122.471751 -122.471751 -122.7900653 45.421863 45.421863 45.6509405 45.6509405","https://twitter.com/ainsmcrae/status/1101011297221500928","ains","Portland, OR","i’m a mess","",FALSE,69,133,0,305,1071,"2016-03-02 05:59:47",FALSE,"","","en","https://pbs.twimg.com/profile_banners/704909044440502272/1549666325","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1103410878953611264/5APTNpdh_normal.jpg",45.53640175,-122.63090815,"OR","Oregon","Oregon"
"303",303,2963,"x37211252","x1100980080287862784","2019-02-28 04:44:41","patrickgrieve","@peacendeath I went to a friends b day at Dave and busters with the flu and puked clear plasma all over","Twitter for iPhone",90,"x1100629353413648384","x844133394","peacendeath",FALSE,FALSE,1,0,"",NA,"","","","","","","","","","",NA,"x844133394","peacendeath","en","","","","",NA,NA,"","","",NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://api.twitter.com/1.1/geo/id/0eb9676d24b211f1.json","Cleveland","Cleveland, OH","city","United States","US","NA NA","NA NA","-81.877771 -81.5331634 -81.5331634 -81.877771 41.392684 41.392684 41.599195 41.599195","https://twitter.com/patrickgrieve/status/1100980080287862784","Patrick Grieve","Cleveland, OH","Watching sports and playing drums // @sweepyheads // 📸 @kayellen_t","",FALSE,250,569,5,4876,2213,"2009-05-02 15:01:07",FALSE,"","","en","","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/976852911518048258/l50wWhMR_normal.jpg",41.4959395,-81.7054672,"OH","Ohio","Ohio"
"304",304,2974,"x2416767838","x1100974111629721600","2019-02-28 04:20:57","alex_archacki","This week has been shitty I had the flu 🤒 since Monday and now I have pink eye wtf is this shit.","Twitter for iPhone",96,"","","",FALSE,FALSE,0,0,"",NA,"","","","","","","","","","",NA,"","","en","","","","",NA,NA,"","","",NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://api.twitter.com/1.1/geo/id/de599025180e2ee7.json","Ohio","Ohio, USA","admin","United States","US","NA NA","NA NA","-84.8203089 -80.518626 -80.518626 -84.8203089 38.403186 38.403186 42.327133 42.327133","https://twitter.com/alex_archacki/status/1100974111629721600","Alex archacki","","","",FALSE,148,269,0,1021,3291,"2014-03-17 04:23:58",FALSE,"","","en","https://pbs.twimg.com/profile_banners/2416767838/1455725378","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1003253199799808006/tgouOS76_normal.jpg",40.3651595,-82.66946745,"OH","Ohio","Ohio"
